Course Name,Award,A Levels,UCAS Code,Duration,Start Month,Accreditation,Home Students Fees,Overseas Students Fees
Accounting and Financial Management,BA,AAB,N420,3 years,September start,Accredited,"£9,250","£21,000"
Accounting and Financial Management and Economics,BA,AAB,NL41,3 years,September start,Accredited,"£9,250","£21,000"
Aerospace Engineering,MEng,AAA,H400,4 years,September start,Accredited,"£9,250","£26,950"
Aerospace Engineering,BEng,AAB,H402,3 years,September start,Accredited,"£9,250","£26,950"
Aerospace Engineering (Private Pilot Instruction),BEng,AAB,H460,3 years,September start,Accredited,"£9,250","£26,950"
Aerospace Engineering (Private Pilot Instruction),MEng,AAA,H490,4 years,September start,Accredited,"£9,250","£26,950"
Aerospace Engineering with a Foundation Year,BEng | MEng,BBB; BBC,H407,5 years,September start,Not found,"£9,250","£26,950"
Aerospace Engineering with a Year in North America,MEng,AAA,H406,,September start,Accredited,"£9,250","£26,950"
Aerospace Engineering with an Industrial Placement Year,BEng,AAB,H404,4 years,September start,Accredited,"£9,250","£26,950"
Aerospace Engineering with an Industrial Placement Year,MEng,AAA,H405,5 years,September start,Accredited,"£9,250","£26,950"
Applied Social Sciences,BA,ABB,L431,3 years,September start,Not found,"£9,250","£21,000"
Architectural Engineering,MEng,AAA,HK2D,4 years,September start,Accredited,"£9,250","£26,950"
Architectural Engineering with an Industrial Placement Year,MEng,AAA,2G91,5 years,September start,Accredited,"£9,250","£26,950"
Architecture,BA,AAA,K100,3 years,September start,Accredited,"£9,250","£26,950"
Architecture and Landscape,BA,AAA,KK13,3 years,September start,Accredited,"£9,250","£26,950"
Bio-dental Science and Technology,BSc,ABB,B750,3 years,September start,Not found,"£9,250","£26,950"
Biochemistry,MBiolSci,AAA,C709,4 years,September start,Accredited,"£9,250","£26,950"
Biochemistry,BSc,AAB,C700,3 years,September start,Accredited,"£9,250","£26,950"
Biochemistry and Genetics,MBiolSci,AAA,CC7C,4 years,September start,Accredited,"£9,250","£26,950"
Biochemistry and Genetics,BSc,AAB,CC74,3 years,September start,Accredited,"£9,250","£26,950"
Biochemistry and Genetics with an Industrial Placement Year,BSc,AAB,CC76,4 years,September start,Accredited,"£9,250","£26,950"
Biochemistry with an Industrial Placement Year,BSc,AAB,C706,4 years,September start,Accredited,"£9,250","£26,950"
Bioengineering,BEng,AAB,H673,3 years,September start,Accredited,"£9,250","£26,950"
Bioengineering,MEng,AAA,H675,4 years,September start,Accredited,"£9,250","£26,950"
Bioengineering with a Foundation Year,BEng | MEng,BBB; BBC,H160,5 years,September start,Not found,"£9,250","£26,950"
Bioengineering with an Industrial Placement Year,BEng,AAB,H67H,4 years,September start,Accredited,"£9,250","£26,950"
Bioengineering with an Industrial Placement Year,MEng,AAA,H67I,5 years,September start,Accredited,"£9,250","£26,950"
Biology,BSc,AAB,C100,3 years,September start,Not found,"£9,250","£26,950"
Biology,MBiolSci,AAA,C109,4 years,September start,Not found,"£9,250","£26,950"
Biology with Placement Year,MBiolSci,AAA,C104,5 years,September start,Not found,"£9,250","£26,950"
Biology with Placement Year,BSc,AAB,C105,4 years,September start,Not found,"£9,250","£26,950"
Biomedical Science,BSc,AAB,B900,3 years,September start,Not found,"£9,250","£26,950"
Biomedical Science,MBiomedSci,AAA,B909,4 years,September start,Not found,"£9,250","£26,950"
Biomedical Science (with Foundation Year),BSc,BBC,C9B9,4 years,September start,Not found,Not found,Not found
